Timestep,MeanReward,RewardType,Algorithm,Environment,Seed,RunName,DemoName,NumDemos
37,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
38,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
39,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
40,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
41,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
42,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
43,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
44,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
45,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
46,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
47,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
48,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
49,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
50,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
51,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
52,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
53,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
54,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
55,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
56,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
57,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
58,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
59,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
60,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
61,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
62,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
63,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
64,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
65,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
66,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
67,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
68,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
69,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
70,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
71,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
72,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
73,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
74,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
75,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
76,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
77,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
78,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
79,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
